rank,compound_name,chembl_id,display_target,primary_target,mechanism_category,mechanistic_rationale,supporting_evidence,confidence_tier,composite_score,pchembl_value,confidence_score,max_phase,full_mwt,alogp,num_ro5_violations,tier1_hit,tier2_hit,tier3_hit,lsd_bonus,bio_bonus,clinical_bonus
1,adapalene,CHEMBL1265,True,Retinoic acid receptor beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.7 (True=2.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,8.7,9.0,4.0,412.53,6.68,1.0,True,False,False,0.0,2.0,1.5
2,belinostat,CHEMBL408513,True,Histone deacetylase 1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.1 (True=0.85 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,9.07,9.0,4.0,318.35,2.01,0.0,True,False,False,0.0,2.0,1.5
3,bexarotene,CHEMBL1023,True,Retinoic acid receptor RXR-alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.6 (True=2.7 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,8.57,9.0,4.0,348.49,6.1,1.0,True,False,False,0.0,2.0,1.5
4,carfilzomib,CHEMBL451887,True,Proteasome Macropain subunit MB1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.7 (True=2.1 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,8.68,9.0,4.0,719.92,2.58,1.0,True,False,False,0.0,2.0,1.5
5,ixazomib-citrate,CHEMBL3545432,True,Proteasome Macropain subunit MB1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.0 (True=0.93 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,9.03,9.0,4.0,517.13,,,True,False,False,0.0,2.0,1.5
6,pomalidomide,CHEMBL43452,True,Zinc finger protein Aiolos,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=7.7 (True=20.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,7.7,9.0,4.0,273.25,-0.33,0.0,True,False,False,0.0,2.0,1.5
7,romidepsin,CHEMBL343448,True,Histone deacetylase 2,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=10.4 (True=0.038 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,10.42,9.0,4.0,540.71,1.43,1.0,True,False,False,0.0,2.0,1.5
8,tamibarotene,CHEMBL25202,True,Retinoic acid receptor alpha,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.2 (True=6.5 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",High,6.5,8.19,8.0,4.0,351.45,4.99,0.0,True,False,False,0.0,2.0,1.5
9,tazarotene,CHEMBL1657,True,Retinoic acid receptor beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.1 (True=0.8 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,9.1,9.0,4.0,351.47,4.43,0.0,True,False,False,0.0,2.0,1.5
10,tretinoin,CHEMBL38,True,Retinoic acid receptor gamma,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=10.4 (True=0.04 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.5,10.4,9.0,4.0,300.44,5.6,1.0,True,False,False,0.0,2.0,1.5
11,PCI-24781,CHEMBL2103863,True,Polyamine deacetylase HDAC10,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.4 (True=3.981 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",High,6.0,8.4,9.0,3.0,397.43,2.42,0.0,True,False,False,0.0,2.0,1.0
12,acitretin,CHEMBL1131,True,Prostaglandin G/H synthase 1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.3 (True=517.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",High,6.0,6.29,8.0,4.0,326.44,5.17,1.0,True,False,False,0.0,1.5,1.5
13,bortezomib,CHEMBL325041,True,Proteasome Macropain subunit MB1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=9.3 (True=0.5 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",High,6.0,9.3,9.0,3.0,384.25,,,True,False,False,0.0,2.0,1.0
14,broxyquinoline,CHEMBL223448,True,HSP90,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.4 (True=373.0 True vs True, True); assay confidence=8/9; clinical stage: Approved; MOA: True",High,6.0,6.43,8.0,4.0,302.95,3.47,0.0,True,False,False,0.0,1.5,1.5
15,ganetespib,CHEMBL2103879,True,Heat shock protein HSP 90-beta,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.3 (True=5.0 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",High,6.0,8.3,9.0,3.0,364.41,3.25,0.0,True,False,False,0.0,2.0,1.0
16,ixazomib,CHEMBL2141296,True,Proteasome Macropain subunit MB1,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=8.5 (True=2.884 True vs True, True); assay confidence=9/9; clinical stage: Phase III; MOA: True",High,6.0,8.54,9.0,3.0,361.03,,,True,False,False,0.0,2.0,1.0
17,maribavir,CHEMBL515408,True,Histone deacetylase 6,Proteostasis / ER quality control,Proteostasis/ER quality-control modulator with plausible ability to stabilise hypomorphic FGE variants,"pChEMBL=6.2 (True=669.0 True vs True, True); assay confidence=9/9; clinical stage: Approved; MOA: True",High,6.0,6.17,9.0,4.0,376.24,1.77,0.0,True,False,False,0.0,1.5,1.5
